id;name;university;faculty;exam
1.2.246.562.20.00000000000000073110;Energia- ja konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073111;Kestävät yhdyskunnat, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073112;Kiinteistötalous ja geoinformatiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073113;Rakennustekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073101;Kemian tekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Kemian tekniikan korkeakoulu;A
1.2.246.562.20.00000000000000073114;Informaatioverkostot, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v);Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073115;Teknillinen fysiikka ja matematiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073116;Teknillinen psykologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073117;Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073118;Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000073108;Automaatio ja robotiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000073102;Bioinformaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000072850;Elektroniikka ja sähköfysiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000073109;Informaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000072854;Sähköenergiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000077145;Fysikaalisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000077146;Kemian kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000077147;Matemaattisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000077148;Matematiikan, fysiikan ja kemian opettajan kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000077151;Tietojenkäsittelytieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000077762;Aineenopettaja ja luokanopettaja, matematiikka, fysiikka tai kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000077766;Aineenopettaja, matematiikka, fysiikka, kemia tai tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000081239;Datatekniikka, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö;Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000077382;Fotoniikka, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö;Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000077533;Kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000077697;Kestävät teknologiat, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö;Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000077565;Matematiikka, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000077609;Tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000081227;Datatekniikka, Kuopio, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö;Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000077686;Teknillinen fysiikka, Kuopio, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö;Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000077677;Tietojenkäsittelytiede, Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000083647;Teknologiajohtaminen, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö;Jyväskylän yliopisto;Informaatioteknologian tiedekunta;A
1.2.246.562.20.00000000000000083648;Tieto- ja ohjelmistotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö;Jyväskylän yliopisto;Informaatioteknologian tiedekunta;A
