id;name;university;faculty;exam
1.2.246.562.20.00000000000000056868;Biotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Turun yliopisto;Teknillinen tiedekunta;A
1.2.246.562.20.00000000000000056866;Elintarviketekniikka,  tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) DIA-yhteisvalinta;Turun yliopisto;Teknillinen tiedekunta;A
1.2.246.562.20.00000000000000056869;Konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Turun yliopisto;Teknillinen tiedekunta;A
1.2.246.562.20.00000000000000056870;Lääketieteellinen tekniikka ja terveysteknologia, tekniikan kandidaatti ja diplomi-insinööri (3v + 2v), DIA-yhteisvalinta;Turun yliopisto;Teknillinen tiedekunta;A
1.2.246.562.20.00000000000000056871;Materiaalitekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Turun yliopisto;Teknillinen tiedekunta;A
1.2.246.562.20.00000000000000056874;Tietojenkäsittelytiede, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Turun yliopisto;Teknillinen tiedekunta;A
1.2.246.562.20.00000000000000056872;Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Turun yliopisto;Teknillinen tiedekunta;A
1.2.246.562.20.00000000000000056873;Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Turun yliopisto;Teknillinen tiedekunta;A
1.2.246.562.20.00000000000000064173;Automaatio ja tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta 2025;Vaasan yliopisto;Tekniikan ja innovaatiojohtamisen yksikkö;A
1.2.246.562.20.00000000000000064190;Data-arkkitehtuuri, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta 2025;Vaasan yliopisto;Tekniikan ja innovaatiojohtamisen yksikkö;A
1.2.246.562.20.00000000000000064201;Sähkö- ja energiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta 2025;Vaasan yliopisto;Tekniikan ja innovaatiojohtamisen yksikkö;A
1.2.246.562.20.00000000000000064203;Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta 2025;Vaasan yliopisto;Tekniikan ja innovaatiojohtamisen yksikkö;A
1.2.246.562.20.00000000000000056170;Datateknik, utbildningsprogrammet i informationsteknologi, teknologie kandidat och diplomingenjör, (3+2 år) - DIA gemensam antagning;Åbo Akademi;Fakulteten för naturvetenskaper och teknik;A
1.2.246.562.20.00000000000000056171;Datavetenskap, utbildningsprogrammet i informationsteknologi, kandidat i naturvetenskaper och filosofie magister (3+2 år);Åbo Akademi;Fakulteten för naturvetenskaper och teknik;A
1.2.246.562.20.00000000000000056172;Fysik, Kemi, Matematik, utbildningsprogrammet i naturvetenskaper, kandidat i naturvetenskaper och filosofie magister (3+2 år);Åbo Akademi;Fakulteten för naturvetenskaper och teknik;A
1.2.246.562.20.00000000000000056176;Utbildningsprogrammet i kemi- och processteknik, teknologie kandidat och diplomingenjör (3+2 år), DIA gemensam antagning;Åbo Akademi;Fakulteten för naturvetenskaper och teknik;A
1.2.246.562.20.00000000000000056370;Molekyylibiotieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Bio- ja ympäristötieteellinen tiedekunta;B
1.2.246.562.20.00000000000000056374;Eläinlääketieteen kandiohjelma, eläinlääketieteen kandidaatti ja lisensiaatti (3 v + 3 v);Helsingin yliopisto;Eläinlääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000056375;Farmaseutin koulutusohjelma, farmaseutti (3 v);Helsingin yliopisto;Farmasian tiedekunta;B
1.2.246.562.20.00000000000000054978;Pf-koulutus, proviisorin koulutusohjelma, proviisori (2 v);Helsingin yliopisto;Farmasian tiedekunta;B
1.2.246.562.20.00000000000000056376;Proviisorin koulutusohjelma, farmaseutti ja proviisori (3 v + 2 v);Helsingin yliopisto;Farmasian tiedekunta;B
1.2.246.562.20.00000000000000058219;Hammaslääketiede (opetus suomeksi), lääketieteen ja hammaslääketieteen kandiohjelma, hammaslääketieteen kandidaatti ja lisensiaatti (3 v + 2,5 v);Helsingin yliopisto;Lääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000058217;Lääketiede (opetus suomeksi), lääketieteen ja hammaslääketieteen kandiohjelma, lääketieteen kandidaatti ja lisensiaatti (3 v + 3 v);Helsingin yliopisto;Lääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000058218;Medicin (undervisning på svenska), kandidatprogrammet i medicin och odontologi, medicine kandidat och licentiat (3 år + 3 år);Helsingin yliopisto;Lääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000062432;Biolääketiede, Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;B
1.2.246.562.20.00000000000000062402;Farmaseutin koulutusohjelma, Kuopio, farmaseutti (3 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;B
1.2.246.562.20.00000000000000062487;Hammaslääketiede, Kuopio, hammaslääketieteen kandidaatti ja lisensiaatti (3 v + 2,5 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;B
1.2.246.562.20.00000000000000062490;Lääketiede, Kuopio, lääketieteen kandidaatti ja lisensiaatti (3 v + 3 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;B
1.2.246.562.20.00000000000000062411;Maisterihaku, Proviisorin koulutusohjelma, Kuopio, proviisori (2 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;B
1.2.246.562.20.00000000000000062407;Proviisorin koulutusohjelma, Kuopio, farmaseutti ja proviisori (3 v + 2 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;B
1.2.246.562.20.00000000000000062414;Ravitsemustiede, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;B
1.2.246.562.20.00000000000000055929;Biokemia, Biokemian tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Oulun yliopisto;Biokemian ja molekyylilääketieteen tiedekunta;B
1.2.246.562.20.00000000000000057269;Hammaslääketiede, Hammaslääketieteen tutkinto-ohjelma, hammaslääketieteen kandidaatti ja lisensiaatti (3 v + 2,5 v);Oulun yliopisto;Lääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000057268;Lääketiede, Lääketieteen tutkinto-ohjelma, lääketieteen kandidaatti ja lisensiaatti (3 v + 3 v);Oulun yliopisto;Lääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000063500;Bioteknologian ja biolääketieteen tekniikan koulutus, Luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Tampereen yliopisto;Lääketieteen ja terveysteknologian tiedekunta;B
1.2.246.562.20.00000000000000062871;Lääketieteen koulutus, Lääketieteen kandidaatti ja lääketieteen lisensiaatti (3 v + 3 v);Tampereen yliopisto;Lääketieteen ja terveysteknologian tiedekunta;B
1.2.246.562.20.00000000000000056849;Biolääketieteen ja lääkekehityksen tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Turun yliopisto;Lääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000057242;Hammaslääketieteen tutkinto-ohjelma, hammaslääketieteen kandidaatti ja lisensiaatti (3 v + 2,5 v);Turun yliopisto;Lääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000057241;Lääketieteen tutkinto-ohjelma, lääketieteen kandidaatti ja lisensiaatti (3 v + 3 v);Turun yliopisto;Lääketieteellinen tiedekunta;B
1.2.246.562.20.00000000000000056867;Biokemia, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Turun yliopisto;Teknillinen tiedekunta;B
1.2.246.562.20.00000000000000056169;Kandidatprogrammet i farmaci, farmaceut (3 år);Åbo Akademi;Fakulteten för naturvetenskaper och teknik;B
1.2.246.562.20.00000000000000056178;Magisterprogrammet i farmaci, provisor (2 år);Åbo Akademi;Fakulteten för naturvetenskaper och teknik;B
1.2.246.562.20.00000000000000056175;Utbildningsprogrammet i farmaci, farmaceut och provisor (3+2 år);Åbo Akademi;Fakulteten för naturvetenskaper och teknik;B
